Crimes,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Residence,"164,813","132,803","128,586","130,870","136,742","137,801","139,581","141,934","143,021","142,749","148,756","148,164","149,112","151,184","160,815","147,240","125,136","120,297","108,783","95,942","85,693","72,710","57,802","50,579","53,210","50,599"
Night,"37,949","31,271","30,135","30,062","30,780","32,048","31,849","31,702","31,513","30,673","31,487","32,223","32,441","32,471","34,480","32,907","27,437","28,013","26,696","24,399","22,266","20,228","19,454","17,961","19,763","19,753"
Day,"73,955","59,519","57,579","58,253","61,455","61,592","62,656","64,273","66,633","68,811","73,115","73,285","73,984","75,836","79,974","72,242","58,052","54,561","47,537","40,216","35,334","29,479","20,479","19,446","22,918","23,893"
Unknown,"52,909","42,013","40,872","42,555","44,507","44,161","45,076","45,959","44,875","43,265","44,154","42,656","42,687","42,877","46,361","42,091","39,647","37,723","34,550","31,327","28,093","23,003","17,869","13,172","10,529","6,953"
Non-Residence,"104,034","91,025","93,661","99,052","100,703","102,904","105,333","107,629","103,428","95,010","89,232","81,359","79,560","79,150","84,786","84,669","77,420","76,892","79,379","80,696","78,847","78,886","87,575","85,696","90,219","81,975"
Night,"38,661","32,026","32,223","34,550","34,833","35,792","36,656","37,424","36,147","33,237","31,565","30,830","30,083","29,601","32,407","32,965","29,884","31,295","34,465","35,781","35,459","35,715","40,649","39,784","45,563","43,672"
Day,"30,151","27,226","28,510","28,323","28,253","29,606","30,570","30,604","30,219","28,926","27,505","26,288","25,884","26,015","27,849","27,529","24,182","20,999","20,504","20,366","20,360","20,888","23,199","27,469","29,023","28,638"
Unknown,"35,222","31,773","32,928","36,179","37,617","37,506","38,107","39,601","37,062","32,847","30,162","24,241","23,593","23,534","24,530","24,175","23,354","24,598","24,410","24,549","23,028","22,283","23,727","18,443","15,633","9,665"
Motor Vehicle Theft,"195,402","168,465","181,049","201,074","221,780","240,798","251,747","256,998","242,692","220,126","192,631","163,651","152,494","147,030","168,516","165,217","151,790","170,788","176,676","168,327","155,170","140,732","168,046","179,956","181,815","195,853"
Automotive,"142,390","122,228","130,656","145,980","162,478","180,451","188,311","193,183","182,658","167,250","144,289","125,096","117,653","113,534","132,230","128,370","120,088","136,119","138,391","123,726","110,141","98,110","111,694","117,347","114,760","139,488"
Trucks and Buses,"44,712","37,843","40,982","44,713","47,550","46,741","48,262","48,209","45,419","40,219","36,194","27,625","24,984","23,446","25,284","25,145","21,816","23,365","26,040","32,127","33,524","31,303","41,708","46,675","46,254","39,248"
Other,"8,300","8,394","9,411","10,381","11,752","13,606","15,174","15,606","14,615","12,657","12,148","10,930","9,857","10,050","11,002","11,702","9,886","11,304","12,245","12,474","11,505","11,319","14,644","15,934","20,801","17,117"
Larceny-Theft,"723,733","661,643","651,564","689,491","712,419","727,527","726,614","688,820","666,869","654,481","650,653","613,614","600,357","597,302","634,647","621,207","592,336","655,851","636,542","641,804","621,288","622,869","527,748","541,368","577,733","560,413"
Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocket-Picking,"4,199","4,788","4,523","3,316","3,788","3,864","3,509","3,274","3,384","3,791","3,556","3,232","3,186","3,281","3,431","3,478","3,293","3,783","3,903","4,874","5,228","6,033","3,473","4,092","7,349","8,324"
Purse-Snatching,"4,586","4,387","4,502","4,524","4,234","4,507","4,291","4,125","4,513","4,100","3,798","3,504","3,181","2,857","2,851","2,863","2,706","2,790","2,472","2,599","2,312","2,444","1,652","1,563","2,104","2,308"
Shoplifting,"111,607","99,509","89,908","88,330","90,597","93,086","93,482","86,364","82,775","88,412","94,891","97,653","93,665","91,845","94,136","93,532","97,301","108,659","98,589","91,553","89,378","90,309","64,105","64,027","81,955","113,916"
From Motor Vehicle,"249,296","222,586","223,309","245,033","270,230","282,126","280,665","272,073","266,186","256,636","247,270","235,522","225,416","211,903","223,295","217,029","202,916","235,419","238,185","256,625","243,040","245,795","195,903","191,629","184,589","164,111"
Motor Vehicle Accessories,"70,206","66,537","61,913","74,605","78,528","80,734","82,037","73,035","64,615","57,762","59,324","50,934","49,609","46,924","49,277","46,320","48,029","53,541","51,656","51,897","51,872","55,209","69,349","94,236","102,161","81,877"
