Year,Violent Crimes,Homicide,Rape (Forcible Rape prior to 2014),Rape,Attempted Rape,Robbery,Firearm,Knife or Cutting Instrument,Other Weapon,Strong-Arm,Highway,Commercial,Gas Station,Convenience Store,Residence,Bank,Miscellaneous,Aggravated Assault,Firearm,Knife or Cutting Instrument,Other Weapon,Hands  Fists  Feet,Property Crimes,Burglary,Forcible Entry,No Force,Residence,Night,Day,Unknown,Non-Residence,Night,Day,Unknown,Motor Vehicle Theft,Automotive,Trucks and Buses,Other,Larceny-Theft,Pocket-Picking,Purse-Snatching,Shoplifting,From Motor Vehicle,Motor Vehicle Accessories,Bicycles,From Building,Coin Operated Machine,Other,Over $400,Over $200,$200 through $400,$50 through $199,Under $50,Arson,Structural Property,Mobile Property,Other Property
2008,"185,233","2,143","8,906","7,859","1,047","69,391","22,089","6,253","6,430","34,619","33,983","10,126","1,477","2,936","5,848","1,275","13,746","104,793","19,201","16,693","38,092","30,807","1,081,272","237,988","148,763","89,225","148,756","31,487","73,115","44,154","89,232","31,565","27,505","30,162","192,631","144,289","36,194","12,148","650,653","3,556","3,798","94,891","247,270","59,324","22,680","81,371","2,153","135,610","226,125",0,"102,947","118,202","203,379","10,674","3,416","3,888","3,370"
2009,"174,579","1,970","8,698","7,719",979,"64,006","19,863","5,658","5,816","32,669","31,145","9,403","1,221","2,710","5,640","1,107","12,780","99,905","17,333","16,099","35,510","30,963","1,006,788","229,523","142,396","87,127","148,164","32,223","73,285","42,656","81,359","30,830","26,288","24,241","163,651","125,096","27,625","10,930","613,614","3,232","3,504","97,653","235,522","50,934","25,980","75,884","1,803","119,102","202,639",0,"99,226","116,038","195,711","9,233","2,865","3,304","3,064"
2010,"163,957","1,809","8,325","7,408",917,"58,100","18,076","5,051","5,361","29,612","28,360","8,463","1,157","2,476","5,250","1,029","11,365","95,723","16,971","15,182","33,092","30,478","981,523","228,672","143,186","85,486","149,112","32,441","73,984","42,687","79,560","30,083","25,884","23,593","152,494","117,653","24,984","9,857","600,357","3,186","3,181","93,665","225,416","49,609","26,445","75,313","1,634","121,908","203,833",0,"96,180","115,484","184,860","7,864","2,546","2,501","2,817"
2011,"155,313","1,794","7,678","6,792",886,"54,358","16,180","4,817","4,907","28,454","26,302","8,231","1,015","2,210","4,941",916,"10,743","91,483","17,164","14,873","30,732","28,714","974,666","230,334","144,761","85,573","151,184","32,471","75,836","42,877","79,150","29,601","26,015","23,534","147,030","113,534","23,446","10,050","597,302","3,281","2,857","91,845","211,903","46,924","30,093","76,803","1,414","132,182","216,030",0,"91,666","113,113","176,493","7,164","2,327","2,060","2,777"
2012,"160,629","1,878","7,828","6,935",893,"56,491","17,083","4,920","5,259","29,229","26,246","8,608","1,142","2,547","5,190",845,"11,913","94,432","18,040","15,128","31,533","29,731","1,048,764","245,601","153,439","92,162","160,815","34,480","79,974","46,361","84,786","32,407","27,849","24,530","168,516","132,230","25,284","11,002","634,647","3,431","2,851","94,136","223,295","49,277","35,159","80,634","1,450","144,414","232,014",0,"95,880","118,159","188,594","7,519","2,654","1,978","2,887"
2013,"151,634","1,745","7,459","6,665",794,"53,621","16,274","4,641","5,089","27,617","24,463","8,191","1,089","2,264","4,794",784,"12,036","88,809","15,610","14,504","30,008","28,687","1,018,333","231,909","145,363","86,546","147,240","32,907","72,242","42,091","84,669","32,965","27,529","24,175","165,217","128,370","25,145","11,702","621,207","3,478","2,863","93,532","217,029","46,320","34,747","77,017","1,599","144,622","228,035",0,"90,476","112,284","190,412","7,446","2,528","1,822","3,096"
2014,"151,425","1,697","9,397","8,562",835,"48,650","13,546","4,553","4,818","25,733","22,052","7,871",889,"2,385","4,370",696,"10,387","91,681","15,801","14,859","32,481","28,540","946,682","202,556","124,169","78,387","125,136","27,437","58,052","39,647","77,420","29,884","24,182","23,354","151,790","120,088","21,816","9,886","592,336","3,293","2,706","97,301","202,916","48,029","33,095","80,294","1,230","123,472","215,820",0,"85,033","110,108","181,375","7,135","2,459","1,825","2,851"
2015,"166,588","1,861","12,793","11,827",966,"52,785","14,706","5,028","5,651","27,400","22,872","9,567","1,257","2,845","4,283",662,"11,299","99,149","18,286","17,100","33,985","29,778","1,023,828","197,189","126,654","70,535","120,297","28,013","54,561","37,723","76,892","31,295","20,999","24,598","170,788","136,119","23,365","11,304","655,851","3,783","2,790","108,659","235,419","53,541","36,554","77,023","1,307","136,775","238,456",0,"91,947","120,590","204,858","7,380","2,450","1,853","3,077"
2016,"174,701","1,930","13,695","12,785",910,"54,769","15,490","5,207","6,067","28,005","22,953","10,187","1,263","3,062","4,730",669,"11,905","104,307","20,633","17,157","36,048","30,469","1,001,380","188,162","123,642","64,520","108,783","26,696","47,537","34,550","79,379","34,465","20,504","24,410","176,676","138,391","26,040","12,245","636,542","3,903","2,472","98,589","238,185","51,656","31,739","72,225","1,468","136,305","235,543",0,"86,853","112,408","201,738","7,766","2,805","1,943","3,018"
2017,"178,553","1,829","14,724","13,799",925,"56,609","15,349","5,277","6,502","29,481","22,494","11,134","1,453","3,453","4,504",596,"12,975","105,391","19,157","17,123","36,579","32,532","986,769","176,638","119,074","57,564","95,942","24,399","40,216","31,327","80,696","35,781","20,366","24,549","168,327","123,726","32,127","12,474","641,804","4,874","2,599","91,553","256,625","51,897","28,996","69,892","1,406","133,962","261,346",0,"86,436","108,836","185,186","8,650","3,175","1,979","3,496"
2018,"176,866","1,739","15,500","14,526",974,"54,312","13,501","5,031","6,538","29,242","21,231","10,771","1,480","3,369","4,343",568,"12,550","105,315","17,908","16,936","36,494","33,977","940,998","164,540","111,649","52,891","85,693","22,266","35,334","28,093","78,847","35,459","20,360","23,028","155,170","110,141","33,524","11,505","621,288","5,228","2,312","89,378","243,040","51,872","27,336","69,324","1,037","131,761","270,124",0,"84,523","105,185","161,456","8,523","2,825","2,047","3,651"
2019,"173,205","1,679","14,720","13,791",929,"52,050","12,414","4,719","6,068","28,849","19,782","10,429","1,286","3,188","4,275",443,"12,647","104,756","17,748","16,413","35,093","35,502","915,197","151,596","104,958","46,638","72,710","20,228","29,479","23,003","78,886","35,715","20,888","22,283","140,732","98,110","31,303","11,319","622,869","6,033","2,444","90,309","245,795","55,209","24,494","66,657","1,055","130,873","281,436",0,"82,438","100,697","158,298","8,266","2,877","1,773","3,616"
2020,"173,864","2,202","13,439","12,641",798,"44,684","11,176","4,359","5,832","23,317","16,613","8,198","1,429","3,373","4,215",410,"10,446","113,539","24,701","17,556","38,116","33,166","841,171","145,377","101,986","43,391","57,802","19,454","20,479","17,869","87,575","40,649","23,199","23,727","168,046","111,694","41,708","14,644","527,748","3,473","1,652","64,105","195,903","69,349","24,217","48,003",794,"120,252","236,050",0,"67,818","80,539","143,341","11,759","3,660","2,332","5,767"
2021,"183,546","2,361","14,435","13,730",705,"43,628","12,413","4,081","6,048","21,086","15,674","8,938","1,459","3,057","4,226",468,"9,806","123,122","29,016","18,127","39,833","36,146","857,599","136,275","94,644","41,631","50,579","17,961","19,446","13,172","85,696","39,784","27,469","18,443","179,956","117,347","46,675","15,934","541,368","4,092","1,563","64,027","191,629","94,236","21,309","40,476",682,"123,354",null,"343,124",null,"67,676","130,568","11,138","3,324","1,978","5,836"
2022,"193,019","2,206","14,346","13,704",642,"47,669","13,714","4,287","7,014","22,654","16,434","10,867","1,561","3,301","4,230",533,"10,743","128,798","28,061","19,319","43,186","38,232","902,977","143,429","100,895","42,534","53,210","19,763","22,918","10,529","90,219","45,563","29,023","15,633","181,815","114,760","46,254","20,801","577,733","7,349","2,104","81,955","184,589","102,161","21,521","44,439",633,"132,982",null,"381,829",null,"69,168","126,736","9,841","2,920","1,720","5,201"
2023,"199,838","1,892","13,723","13,039",684,"49,177","13,518","4,371","7,565","23,723","16,232","11,940","1,381","3,318","4,150",517,"11,639","135,046","29,179","19,260","46,542","40,065","888,840","132,574","93,782","38,792","50,599","19,753","23,893","6,953","81,975","43,672","28,638","9,665","195,853","139,488","39,248","17,117","560,413","8,324","2,308","113,916","164,111","81,877","18,824","44,682",629,"125,742",null,"358,692",null,"74,187","127,534","6,736","1,889","1,472","3,375"
